Imp_Value,Importer,Product,Exporter,Trade_Year,Duty_Type,Simple_Avg_Tariff,GDP_Importer,GDP_Exporter,Distance,NTB_Importer,NTB_Exporter,CPTPP_TC,CPTPP_TD1,CPTPP_TD2,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,IMP_7,IMP_8,IMP_9,IMP_10,IMP_11,IMP_12,EXP_1,EXP_2,EXP_3,EXP_4,EXP_5,EXP_6,EXP_7,EXP_8,EXP_9,EXP_10,EXP_11,EXP_12,LL,Log_Imports,Log_GDP_Imp,Log_GDP_Exp,Log_Dist,Log_NTB_Imp,Log_NTB_Exp,Log_Tariff,COB
89202.27,Mexico,MVH - Motor vehicles and parts,Vietnam,2018,MFN,2.83,1222408203,308702086.8,14639,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.950375906,9.087216256,8.489539565,4.165511411,0,0.6989700043,0.4517864355,0
13627.077,Singapore,OAP - Animal products nec,Australia,2018,MFN,0,376998146.5,1428529571,4374,2.6,3.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.13440271,8.576339215,9.154889235,3.640878779,0.414973348,0.5440680444,#NUM!,0
23.569,Singapore,OAP - Animal products nec,Canada,2018,MFN,0,376998146.5,1725329193,13060,2.6,4.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.372341156,8.576339215,9.236871971,4.115943177,0.414973348,0.6232492904,#NUM!,0
659.782,Singapore,OAP - Animal products nec,India,2018,MFN,0,376998146.5,2702929719,3440,2.6,4.9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.819400463,8.576339215,9.431834753,3.536558443,0.414973348,0.69019608,#NUM!,0
356.401,Singapore,OAP - Animal products nec,Japan,2018,MFN,0,376998146.5,5037835383,5241,2.6,3.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.551938914,8.576339215,9.702243972,3.71941416,0.414973348,0.5185139399,#NUM!,0
296774.029,Singapore,OAP - Animal products nec,Malaysia,2018,MFN,0,376998146.5,358791513.2,377,2.6,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.472425893,8.576339215,8.554842162,2.57634135,0.414973348,0.3802112417,#NUM!,0
13.194,Singapore,OAP - Animal products nec,Mexico,2018,MFN,0,376998146.5,1222408203,16024,2.6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.12037648,8.576339215,9.087216256,4.204770936,0.414973348,0,#NUM!,0
16713.093,Singapore,OAP - Animal products nec,New Zealand,2018,MFN,0,376998146.5,211953111,8529,2.6,2.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.22305683,8.576339215,8.326239795,3.930898114,0.414973348,0.3979400087,#NUM!,0
4885.464,Singapore,OAP - Animal products nec,Vietnam,2018,MFN,0,376998146.5,308702086.8,1488,2.6,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.688905817,8.576339215,8.489539565,3.172602931,0.414973348,0.6989700043,#NUM!,0
103184.283,Singapore,"ELE - Computer, electronic and optical products",Australia,2018,MFN,0,376998146.5,1428529571,4374,2.6,3.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.013613551,8.576339215,9.154889235,3.640878779,0.414973348,0.5440680444,#NUM!,0
