"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","DutyType","Simple Average","Imports Value in 1000 USD"
"GP","H5","096","Brunei","10","OAP - Animal products nec","356","India",2018,2018,"MFN",0,1.087
"GP","H5","096","Brunei","10","OAP - Animal products nec","392","Japan",2018,2018,"MFN",0,1.525
"GP","H5","096","Brunei","10","OAP - Animal products nec","458","Malaysia",2018,2018,"MFN",0,5708.3
"GP","H5","096","Brunei","10","OAP - Animal products nec","554","New Zealand",2018,2018,"MFN",0,0.615
"GP","H5","096","Brunei","10","OAP - Animal products nec","702","Singapore",2018,2018,"MFN",0,9.343
"GP","H5","096","Brunei","40","ELE - Computer, electronic and optical products","036","Australia",2018,2018,"MFN",0.09,784.137
"GP","H5","096","Brunei","40","ELE - Computer, electronic and optical products","124","Canada",2018,2018,"MFN",0.05,859.428
"GP","H5","096","Brunei","40","ELE - Computer, electronic and optical products","152","Chile",2018,2018,"MFN",0,0.822
"GP","H5","096","Brunei","40","ELE - Computer, electronic and optical products","356","India",2018,2018,"MFN",0.06,1040.543
"GP","H5","096","Brunei","40","ELE - Computer, electronic and optical products","392","Japan",2018,2018,"MFN",0.07,1476.631
"GP","H5","096","Brunei","40","ELE - Computer, electronic and optical products","458","Malaysia",2018,2018,"MFN",0.05,19422.589
"GP","H5","096","Brunei","40","ELE - Computer, electronic and optical products","484","Mexico",2018,2018,"MFN",0.04,457.584
"GP","H5","096","Brunei","40","ELE - Computer, electronic and optical products","554","New Zealand",2018,2018,"MFN",0.08,18.529
"GP","H5","096","Brunei","40","ELE - Computer, electronic and optical products","702","Singapore",2018,2018,"MFN",0.04,39362.173
"GP","H5","096","Brunei","40","ELE - Computer, electronic and optical products","704","Vietnam",2018,2018,"MFN",0,1819.932
"GP","H5","096","Brunei","43","MVH - Motor vehicles and parts","036","Australia",2018,2018,"MFN",0,150.555
"GP","H5","096","Brunei","43","MVH - Motor vehicles and parts","124","Canada",2018,2018,"MFN",0,28.159
"GP","H5","096","Brunei","43","MVH - Motor vehicles and parts","152","Chile",2018,2018,"MFN",0,0.541
"GP","H5","096","Brunei","43","MVH - Motor vehicles and parts","356","India",2018,2018,"MFN",0,11864.581
"GP","H5","096","Brunei","43","MVH - Motor vehicles and parts","392","Japan",2018,2018,"MFN",0.13,65421.73
"GP","H5","096","Brunei","43","MVH - Motor vehicles and parts","458","Malaysia",2018,2018,"MFN",0.17,3052.057
"GP","H5","096","Brunei","43","MVH - Motor vehicles and parts","484","Mexico",2018,2018,"MFN",0.31,872.003
"GP","H5","096","Brunei","43","MVH - Motor vehicles and parts","554","New Zealand",2018,2018,"MFN",0,5.897
"GP","H5","096","Brunei","43","MVH - Motor vehicles and parts","702","Singapore",2018,2018,"MFN",0.19,2954.822
"GP","H5","096","Brunei","43","MVH - Motor vehicles and parts","704","Vietnam",2018,2018,"MFN",0.28,39.445
"GP","H5","124","Canada","10","OAP - Animal products nec","036","Australia",2018,2018,"MFN",0.18,12066.19
"GP","H5","124","Canada","10","OAP - Animal products nec","124","Canada",2018,2018,"MFN",0,453.236
"GP","H5","124","Canada","10","OAP - Animal products nec","152","Chile",2018,2018,"MFN",0.29,848.008
"GP","H5","124","Canada","10","OAP - Animal products nec","356","India",2018,2018,"MFN",0,3212.94
"GP","H5","124","Canada","10","OAP - Animal products nec","392","Japan",2018,2018,"MFN",1.22,15.151
"GP","H5","124","Canada","10","OAP - Animal products nec","458","Malaysia",2018,2018,"MFN",1.22,67.875
"GP","H5","124","Canada","10","OAP - Animal products nec","484","Mexico",2018,2018,"MFN",0.25,2316.829
"GP","H5","124","Canada","10","OAP - Animal products nec","554","New Zealand",2018,2018,"MFN",1.57,18034.58
